2007717	doc997667	1
2009986	doc634102	1
2003843	doc2002795	1
2002850	doc2440331	1
2015035	doc2514897	1
2000067	doc553669	1
2015043	doc102813	1
2010721	doc1023099	1
2015702	doc156032	1
2008106	doc1328846	1
2015925	doc2009244	1
2008320	doc120839	1
2000750	doc564808	1
2006052	doc524549	1
2001786	doc2431322	1
2004756	doc703436	1
2013645	doc158978	1
2008655	doc208110	1
2001200	doc363592	1
2010596	doc2287592	1
2009428	doc2288061	1
2006006	doc2579688	1
2006528	doc2330718	1
2011141	doc1779086	1
2008536	doc1192345	1
2008845	doc744368	1
2013321	doc1136810	1
2014240	doc6697	1
2000844	doc1190476	1
2005917	doc896296	1
2013150	doc2632582	1
2014058	doc592662	1
2014896	doc1818884	1
2007037	doc551360	1
2005272	doc1850658	1
2000380	doc558849	1
2011871	doc939436	1
2001782	doc1482698	1
2003983	doc1503586	1
2015970	doc2601565	1
2012349	doc2131116	1
2006766	doc1938818	1
2004337	doc1393708	1
2004328	doc451575	1
2004314	doc1640758	1
2003736	doc1020505	1
2007679	doc1895060	1
2012863	doc239347	1
2011919	doc536962	1
2011297	doc2064340	1
2014099	doc74312	1
2007898	doc128218	1
2003468	doc888351	1
2010706	doc661474	1
2007337	doc2301229	1
2008097	doc1577562	1
2015519	doc783285	1
2004191	doc782517	1
2009981	doc1477846	1
2014629	doc2394405	1
2001044	doc729073	1
2014889	doc2271257	1
2001483	doc841293	1
2001731	doc1264525	1
2011725	doc1462665	1
2010606	doc1500328	1
2005305	doc810816	1
2015131	doc2321148	1
2004353	doc1250763	1
2003889	doc367227	1
2012563	doc1316563	1
2012205	doc1919052	1
2013763	doc2140093	1
2011992	doc1966242	1
2004602	doc1006659	1
2015486	doc338949	1
2002717	doc1302776	1
2002415	doc1921983	1
2015870	doc561924	1
2010659	doc184092	1
2000294	doc1104653	1
2012662	doc2153147	1
2002070	doc1911141	1
2012486	doc1915098	1
2003603	doc1384243	1
2001437	doc332891	1
2004356	doc889406	1
2000338	doc2392044	1
2011888	doc1641699	1
2013365	doc2509121	1
2006691	doc1493826	1
2011551	doc2596683	1
2012191	doc105821	1
2008978	doc141825	1
2013507	doc1399121	1
2012759	doc1017355	1
2000078	doc1599995	1
2008739	doc1456139	1
2010924	doc1193111	1
2013734	doc1564108	1
2006684	doc1520648	1
2012627	doc968212	1
2002084	doc1711198	1
2000814	doc2194457	1
2016652	doc844922	1
2010642	doc973012	1
2000341	doc914759	1
2014381	doc1887956	1
2003423	doc2050107	1
2013947	doc1984723	1
2005009	doc1270738	1
2014524	doc1873009	1
2000772	doc453549	1
2014114	doc701254	1
2006930	doc1305505	1
2000753	doc2326494	1
2002044	doc1719007	1
2011100	doc2254472	1
2011276	doc1697853	1
2002272	doc2316190	1
2011434	doc834154	1
2016499	doc1479567	1
2013668	doc2009046	1
2007631	doc677654	1
2016600	doc1091845	1
2010744	doc801574	1
2000443	doc1921097	1
2011243	doc2593833	1
2006375	doc374439	1
2015319	doc2631033	1
2012569	doc1404652	1
2012385	doc2096827	1
2002972	doc2299386	1
2014292	doc554958	1
2012752	doc207527	1
2007258	doc1003179	1
2001719	doc1063847	1
2003544	doc1288949	1
2010305	doc1080397	1
2013918	doc2306842	1
2006819	doc2416851	1
2001302	doc2162823	1
2006138	doc2036310	1
2012040	doc674260	1
2015793	doc1179957	1
2007066	doc1349075	1
2005275	doc1722765	1
2011391	doc2318304	1
2010765	doc743150	1
2000676	doc1588481	1
2007361	doc1137486	1
2008020	doc2457388	1
2015598	doc1438156	1
2015914	doc2487989	1
2009198	doc317268	1
2003637	doc1586264	1
2007216	doc1721305	1
2009086	doc793496	1
2009324	doc1206846	1
2003453	doc1321521	1
2001426	doc375607	1
2000284	doc915604	1
2008968	doc2403779	1
2006935	doc1262890	1
2004488	doc151254	1
2009686	doc934978	1
2006364	doc1922538	1
2004383	doc2030933	1
2016480	doc1154169	1
2007444	doc34810	1
2009274	doc1890005	1
2001985	doc1941346	1
2006365	doc1503032	1
2014393	doc2533912	1
2003954	doc656336	1
2005028	doc1361175	1
2016342	doc2156712	1
2007068	doc856064	1
2000710	doc33380	1
2013824	doc1261673	1
2014140	doc503261	1
2006542	doc366642	1
