2019680	6466595	1
2009775	1264556	1
2007615	1024143	1
2009345	1743787	1
2005591	713411	1
2016812	6110826	1
2015804	6444468	1
2021269	1130240	1
2003299	5786804	1
2011954	3862562	1
2000216	1322882	1
2011074	6685733	1
2015869	1975631	1
2018313	2203217	1
2023665	5631906	1
2014276	6830951	1
2004800	7425268	1
2020319	6620116	1
2003313	6645166	1
2019050	457762	1
2023380	282989	1
2021443	3168128	1
2013038	5977971	1
2018153	5514873	1
2005886	8735067	1
2000004	7062787	1
2001501	3480898	1
2012707	70651	1
2010763	6340074	1
2017437	402867	1
2007999	4381890	1
2015127	565231	1
2011756	3113230	1
2006025	4819927	1
2002612	7578639	1
2004997	6013894	1
2000901	3480672	1
2010753	2566067	1
2010999	2821881	1
2001219	8403361	1
2007546	2863114	1
2012590	225309	1
2004814	8313559	1
2011881	796361	1
2000593	1322882	1
2000924	1760114	1
2004781	8835535	1
2011932	6887392	1
2018938	4887429	1
2010663	263967	1
2015671	793151	1
2019782	7328893	1
2002706	7952683	1
2000959	2966334	1
2010065	1075181	1
2012560	6790062	1
2009205	6936523	1
2002352	430778	1
2022863	4748808	1
2019421	2132699	1
2000664	918556	1
2018344	3082262	1
2001464	6511774	1
2013339	8210214	1
2001045	1554688	1
2016002	5663192	1
2018112	1062524	1
2003926	628578	1
2012433	14721	1
2004519	6659331	1
2008112	1575962	1
2001898	6757451	1
2006302	698547	1
2007423	5780663	1
2010208	5717879	1
2002482	3662934	1
2007629	3925883	1
2018462	4707565	1
2003821	788194	1
2001168	1686011	1
2002559	8148205	1
2021547	7415935	1
2013951	1997091	1
2013900	5392320	1
2021734	3532059	1
2007155	2952122	1
2015661	6726329	1
2021327	1066073	1
2000084	5897038	1
2017421	5656029	1
2022521	1211927	1
2001448	1177039	1
2014477	3663565	1
2005024	7979341	1
2013961	5213969	1
2004802	1186443	1
2018280	2660519	1
2019699	1009226	1
2013983	6936612	1
2019006	5653414	1
2006561	1188303	1
2009704	4990129	1
2007704	8631207	1
2015149	5962785	1
2009908	7052172	1
2000061	5525824	1
2016639	7275859	1
2021937	2494974	1
2010795	7639776	1
2016001	2975326	1
2022833	3027311	1
2010572	4486918	1
2022795	1251917	1
2017830	6779779	1
2018082	3663230	1
2008923	202967	1
2007390	1186718	1
2021012	1034841	1
2016615	3420671	1
2019266	1203590	1
2004466	2089022	1
2016774	2063515	1
2016430	1974673	1
2009152	899516	1
2008101	3095726	1
2011795	1677149	1
2005427	796218	1
2019576	902778	1
2013982	5486152	1
2013620	4357190	1
2008053	2016436	1
2017917	2646687	1
2018854	2463162	1
2022014	1528243	1
2011369	7065410	1
2003721	8503241	1
2020530	1801332	1
2017601	407574	1
2003842	6234472	1
2003913	549034	1
2022104	8732939	1
2019821	5792033	1
2005263	7624182	1
2008810	2272014	1
2006784	1296521	1
2019520	8636708	1
2011259	1592430	1
2014882	2355424	1
2018404	2425113	1
2002059	6070163	1
2020175	7586362	1
2000889	5697743	1
2022793	2512423	1
2000283	6837997	1
2022978	1842586	1
2018071	7167822	1
2009870	3643040	1
2022921	3639224	1
2021339	5183253	1
2017814	8458360	1
2013984	6501663	1
2010697	544857	1
2004860	87173	1
2011869	662749	1
2001595	8767253	1
2018579	4795992	1
2007497	4167548	1
2000411	157247	1
2010504	8505853	1
2014218	2977781	1
2011894	4353459	1
2013922	7783442	1
2020635	8073823	1
2012189	4044335	1
2020346	2423627	1
2000384	4853633	1
2001214	6029479	1
2012836	8480243	1
2000487	4932011	1
2017060	992675	1
2023539	6756131	1
2001971	91769	1
2015567	7479122	1
2001031	781599	1
2008396	7874747	1
2005785	7861451	1
2023345	3905249	1
2010681	2459775	1
2015251	2630259	1
2017713	3974113	1
2011047	4299214	1
2012050	2617266	1
2010135	973796	1
2020968	6637791	1
2022745	33483	1
2011820	1095289	1
2002792	8616040	1
2018596	6640260	1
2019719	8463911	1
2005227	7949407	1
2011846	2218685	1
2018080	2040558	1
2022868	2209208	1
2016875	5859360	1
2018442	4715387	1
2012362	8547494	1
2021267	4874488	1
2014351	3860388	1
2013877	7362087	1
2022055	1035821	1
2010683	210269	1
2013355	5261725	1
2016857	2656276	1
2012370	3628118	1
2005274	1015959	1
2013019	4457226	1
2002737	7766700	1
2015663	4973760	1
2009039	3431599	1
2018844	2479697	1
2014827	319979	1
2008777	2833611	1
2015097	4794982	1
2023041	3762622	1
2005625	8443853	1
2007814	7553487	1
2018034	7620235	1
2022500	5994783	1
2005989	773962	1
2005982	3332083	1
2015322	1656217	1
2001544	8722559	1
2009030	7271926	1
2007266	5298699	1
2005838	5629234	1
2003833	8516506	1
2022947	6693922	1
2017122	7516175	1
2003393	6115897	1
